# 0       1       2         | 3          4
# Current Voltage Vibration | Error rate Faulty
  0.61     9.9     24.7        0.02     0
  0.61     9.9     24.7        0.02     0
  0.38    11.8    254.3        6.24     1
  0.53    14.9     26.2        0.01     0
  0.45    15.9     22.7        0.01     0
  0.63    11.2    312.1        3.12     1
  0.35    12.8    254.7        6.21     1
  0.29    12.2    315.7        5.92     1
  0.39     8.8    244.9        6.31     1
  0.25    19.2     51.2        0.03     0
  0.35    10.1     10.2        0.02     0
  0.47    10.9     25.7        0.03     0
  0.32    15.8    234.1        6.51     1 
#  0.39     8.8    102.9        3.31     1
#  0.39     8.8     98.9        0.31     0
#  0.39     8.8    145.9        6.51     1
#  0.39     8.8    120.9        0.51     0
#  0.39     8.8    180.9        4.51     1
